,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,45.001504776127945,55.15587320011392,67.96721904559092,38.98037493927699,75.84616714235531,-46.05747042851482,1,0.09,9.0,0,核心配置
300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,44.96070419307161,73.75211171475524,78.00502071801772,51.074769238298884,36.0438077698434,-61.856591261337435,2,0.087,8.7,0,核心配置
601360.SH,三六零,中游-大模型,AI+安全双主线,高,42.91087027436376,56.96286326241324,65.91357868539605,40.79027883408793,70.20509999780828,-55.62434573092768,3,0.08399999999999999,8.399999999999999,0,核心配置
300364.SZ,中文在线,中游-大模型,AI语料库,高,41.95227321029641,70.36012203850777,89.4098554043517,17.994652168925136,44.36712338932496,-65.82386250645334,4,0.081,8.1,0,核心配置
300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,40.76983443729405,53.521600420479054,55.807705535135945,58.04112928910235,52.767467723930274,-46.48599652825406,5,0.078,7.8,0,核心配置
300594.SZ,朗进科技,上游-液冷技术,精密空调,中,40.26430411973467,57.572934093449554,55.043938530380274,55.11593591383236,51.619217774257145,-50.73029785770642,6,0.075,7.5,0,核心配置
600845.SH,宝信软件,中游-数据平台,IDC运营,中,39.425378747461934,49.03754807078499,52.136675819266095,59.946655112523786,55.08737710213914,-46.95930731207261,7,0.072,7.199999999999999,0,核心配置
600050.SH,中国联通,中游-数据平台,运营商+智算中心,中,39.21951125022563,42.64905353768776,43.102457207623125,61.63717584010491,66.30897389926108,-37.490524208485496,8,0.06899999999999999,6.8999999999999995,0,核心配置
300496.SZ,中科创达,下游-AI应用,智能操作系统,高,39.09787130184493,55.561045865291824,53.722020964557515,52.911922980718245,50.501382503055844,-48.83778851926235,9,0.066,6.6000000000000005,0,核心配置
002236.SZ,大华股份,下游-AI应用,安防AI,高,38.91750084072538,47.51691709434913,44.90705221343357,57.55523208058389,62.923110700399185,-41.96137990569464,10,0.063,6.3,0,核心配置
002405.SZ,四维图新,下游-智能驾驶,高精地图,高,38.60589067290145,50.21420360618815,54.499749132989464,54.834836084947966,52.56334910425846,-49.31622032821508,11,0.016,1.6,0,卫星配置
688047.SH,龙芯中科,中游-芯片,国产CPU,高,38.586513483790334,53.47308534294318,63.08052361938061,36.872203818581546,54.69426700225485,-50.241810746722585,12,0.016,1.6,0,卫星配置
600089.SH,特变电工,上游-电力设备,变压器,中,38.48708553189052,59.72575873254304,47.922908811110325,62.587035899562316,42.733669776093244,-52.73434554029164,13,0.016,1.6,0,卫星配置
002602.SZ,世纪华通,中游-数据平台,IDC+游戏,中,38.41171817296353,47.972490153834855,47.95406309551851,61.1146872835149,56.12480133644006,-47.664486364047804,14,0.016,1.6,0,卫星配置
603881.SH,数据港,中游-数据平台,IDC运营,高,38.11349631710647,53.12682917991642,55.5209941790726,55.291530226176924,44.93733585994309,-50.6403958438742,15,0.016,1.6,0,卫星配置
688111.SH,金山办公,下游-AI办公,办公软件,高,37.49552391512963,53.927771527771654,56.00245394623911,49.699935316730006,45.0095983654626,-50.24820368691236,16,0.016,1.6,0,卫星配置
002281.SZ,光迅科技,中游-光模块,光器件,高,37.370817512300476,55.90543897266602,50.05965836791441,52.38987073225,47.76382332038111,-51.05801251655872,17,0.016,1.6,0,卫星配置
002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,37.05590167597681,47.132415642007246,50.83883864145126,55.34228102602013,52.998984014632576,-49.559568587180706,18,0.016,1.6,0,卫星配置
300474.SZ,景嘉微,中游-芯片,国产GPU,高,37.007539288285926,43.664900344876415,51.49063868486714,39.19727756014005,65.42657683518205,-40.09742328791383,19,0.016,1.6,0,卫星配置
300308.SZ,中际旭创,中游-光模块,光模块龙头,高,36.89992154200372,59.514108504595555,41.99576093385052,50.145659153349655,49.591543909011456,-45.93030263452002,20,0.016,1.6,0,卫星配置
002594.SZ,比亚迪,下游-智能驾驶,新能源车+智能驾驶,高,36.83712396117582,39.094490549824535,42.694549591863726,57.77530344428479,64.6811768092042,-40.373589427673274,21,0.016,1.6,0,卫星配置
688017.SH,绿的谐波,智能机器人,机器人减速器,高,36.575189556096525,57.01986384882481,49.64219370695289,46.293728738195256,50.29993395659469,-53.40845798507202,22,0.016,1.6,0,卫星配置
002415.SZ,海康威视,下游-AI应用,安防+AI,高,36.50125447664036,42.480975342811604,43.56906588513798,55.19390208502802,60.31792647177885,-41.45274978980192,23,0.016,1.6,0,卫星配置
300249.SZ,依米康,上游-液冷技术,精密空调,高,36.36654919164739,47.46552393193547,51.03672569504791,49.32215141849591,50.20972060438747,-44.10535842298192,24,0.016,1.6,0,卫星配置
000400.SZ,许继电气,上游-电力设备,电力二次设备,中,36.26106541968314,48.01985734851942,42.36239504087009,61.48280000940469,49.18669375810467,-44.678618255828034,25,0.016,1.6,0,卫星配置
300499.SZ,高澜股份,上游-液冷技术,液冷解决方案,高,36.10526217401656,50.18278880414548,48.779576489961016,53.660980097554074,49.29375736179524,-51.19415637280672,26,0.0,0.0,0,观察
002028.SZ,思源电气,上游-电力设备,输配电设备,中,35.90888956707803,58.91861528163124,39.80729089712912,55.46242867423675,40.769585529140784,-43.53106810157159,27,0.0,0.0,0,观察
600570.SH,恒生电子,下游-AI金融,金融科技,高,35.6270146103562,50.405084228111456,49.85985034464543,56.412030501686445,38.784766917467486,-46.96173263057665,28,0.0,0.0,0,观察
300124.SZ,汇川技术,智能机器人,工业自动化,高,35.33471308645736,43.32840080761095,49.2171862850237,44.77339857963732,57.055188609528585,-43.79163843393685,29,0.0,0.0,0,观察
301018.SZ,申菱环境,上游-液冷技术,特种空调,高,35.17463826501883,47.62554893134881,47.69119769517939,55.88872747161285,49.34900760168347,-54.26671932004684,30,0.0,0.0,0,观察
300607.SZ,拓斯达,智能机器人,工业机器人,高,35.032377169026816,45.239248416211375,46.43777266859789,49.079028061959264,56.79048931775891,-49.5956516466055,31,0.0,0.0,0,观察
601877.SH,正泰电器,上游-电力设备,低压电器,中,35.00940527817597,44.65468499087019,40.98112091960022,62.40946982574362,49.094750370968896,-46.216470248927784,32,0.0,0.0,0,观察
688008.SH,澜起科技,中游-芯片,内存接口芯片,高,35.00701522222036,42.91623897139951,55.2617362857944,40.2085964633591,57.45720348835888,-50.83801845276678,33,0.0,0.0,0,观察
600406.SH,国电南瑞,上游-电力设备,电力自动化,中,34.92225840603625,43.70073590398612,40.21711948256085,59.325495145669734,49.7973357160115,-40.70939282645081,34,0.0,0.0,0,观察
688041.SH,海光信息,中游-芯片,CPU+DCU,高,34.748891688637656,48.544538878602694,55.01212875228043,35.89257581462216,53.047822516051006,-51.06819227574498,35,0.0,0.0,0,观察
002747.SZ,埃斯顿,智能机器人,工业机器人,高,34.71763921315566,47.467105538788765,50.39776245704923,41.45311566298149,51.32302095780767,-46.059159839613486,36,0.0,0.0,0,观察
300602.SZ,飞荣达,上游-液冷技术,散热解决方案,中,34.45286117924318,43.68473045732455,41.76077005770449,57.212710057033235,54.69009286867719,-50.36441768672823,37,0.0,0.0,0,观察
000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,33.57655796119879,46.582256212263026,43.06310466855561,49.70635558979612,48.490199069123015,-46.501157840080786,38,0.0,0.0,0,观察
002837.SZ,英维克,上游-液冷技术,精密温控设备,高,33.39778814179841,59.600954346661595,39.15731850882343,46.99978445435963,40.93139246612096,-50.85279941256685,39,0.0,0.0,0,观察
002335.SZ,科华数据,上游-电力设备,UPS+能源管理,中,32.4829063913827,46.292818137496084,45.45887768635419,58.763454893984836,35.87066842102246,-53.49399829486556,40,0.0,0.0,0,观察
300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,32.29219128534991,52.84971107079687,38.04420383234222,51.10711061893955,43.73933088768954,-53.59747794020075,41,0.0,0.0,0,不配置
000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,32.1281123657447,36.55355031592082,44.361738457783694,55.69078967267671,51.01176324396367,-52.19406680483351,42,0.0,0.0,0,不配置
300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,31.333626508996446,51.24584419890459,53.92440545119046,50.3078534855447,20.646804046221,-55.21981613746533,43,0.0,0.0,0,不配置
300394.SZ,天孚通信,中游-光模块,光器件,高,31.042949599704674,48.20081355981469,40.208593481055686,48.18888898235017,41.69374658738295,-51.701975450463436,44,0.0,0.0,0,不配置
603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,30.581377356742763,38.21089547591254,45.688481203488564,48.31853485329846,43.71174155478651,-49.70654690402005,45,0.0,0.0,0,不配置
688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,30.010685124364677,47.55487705586524,51.031900515165795,23.996163880962392,43.54484765735528,-48.52422389493043,46,0.0,0.0,0,不配置
300502.SZ,新易盛,中游-光模块,光模块,高,28.52369868198464,45.44558470975204,36.98674488968507,47.44049178850098,38.55981404772174,-54.03170548853373,47,0.0,0.0,0,不配置
002527.SZ,新时达,智能机器人,自动化控制,中,24.213796854570727,39.96719137949049,41.965075514009754,26.110686229353348,32.13754163725848,-48.24250631996041,48,0.0,0.0,0,不配置
