,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,54.0419376007231,73.94782989466452,78.66109606765427,50.875431234409405,35.76076964171325,-59.38533406090037,1,0.09,9.0,0,核心配置
300364.SZ,中文在线,中游-大模型,AI语料库,高,49.46720884395611,70.58344082447631,90.13420339130596,17.288802430563088,43.77469131766384,-63.154315733287845,2,0.087,8.7,0,核心配置
002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,46.95071962805295,55.49909844869226,68.39544490971906,38.67326074645034,75.36455330386767,-43.95590775105351,3,0.08399999999999999,8.399999999999999,0,核心配置
601360.SH,三六零,中游-大模型,AI+安全双主线,高,46.4102503055289,57.32290033888333,66.31344384178249,40.51926002595004,70.13977818076629,-52.900832621492754,4,0.081,8.1,0,核心配置
600089.SH,特变电工,上游-电力设备,变压器,中,45.88973189752533,60.04740865717408,48.25277892192296,62.537392627419855,42.763869809448686,-50.288851444080095,5,0.078,7.8,0,核心配置
300594.SZ,朗进科技,上游-液冷技术,精密空调,中,45.79409411346149,57.878857335091446,55.3829220688222,55.005544944035336,51.410911644570255,-48.44695770469889,6,0.075,7.5,0,核心配置
300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,44.817094636222365,53.86495217865851,56.201850554110095,57.860863179353515,52.19428833884302,-44.442173470107335,7,0.072,7.199999999999999,0,核心配置
300496.SZ,中科创达,下游-AI应用,智能操作系统,高,44.29102025350424,55.88684113166478,54.087362746268674,52.667153704049724,50.01829439705872,-46.67407219581779,8,0.06899999999999999,6.8999999999999995,0,核心配置
300308.SZ,中际旭创,中游-光模块,光模块龙头,高,44.25168191098692,59.83119315956853,42.154549556693,49.899070914998546,49.0888398918105,-43.80841728732126,9,0.066,6.6000000000000005,0,核心配置
002028.SZ,思源电气,上游-电力设备,输配电设备,中,43.78156511460708,59.258275167554636,40.025084583917916,55.21925659133885,40.15055955936994,-41.49279601395743,10,0.063,6.3,0,核心配置
002281.SZ,光迅科技,中游-光模块,光器件,高,43.366723388284726,56.21884633932007,50.32980915660602,52.13482341302744,47.49735053052944,-48.62129719873276,11,0.016,1.6,0,卫星配置
603881.SH,数据港,中游-数据平台,IDC运营,高,43.025092878300654,53.47880441532021,55.91117972338257,55.05081529892563,44.602891676556446,-48.18897750361326,12,0.016,1.6,0,卫星配置
688017.SH,绿的谐波,智能机器人,机器人减速器,高,42.89804397257218,57.33185199902824,49.861965439412536,45.97907162156677,49.76990873296715,-51.21028459385549,13,0.016,1.6,0,卫星配置
688111.SH,金山办公,下游-AI办公,办公软件,高,42.67474606606154,54.28203646674371,56.3546745519407,49.39708592039286,44.60320762958678,-47.89357001119026,14,0.016,1.6,0,卫星配置
600845.SH,宝信软件,中游-数据平台,IDC运营,中,42.543608742921414,49.40680970345841,52.48012403518705,59.83443662145998,54.726702299596596,-44.79650437264505,15,0.016,1.6,0,卫星配置
688047.SH,龙芯中科,中游-芯片,国产CPU,高,42.48619504946442,53.799081760167304,63.4858782584533,36.491050270050486,54.06350882518899,-48.16235992413702,16,0.016,1.6,0,卫星配置
002405.SZ,四维图新,下游-智能驾驶,高精地图,高,42.255566291526435,50.56399890514882,54.83121743324524,54.72033632833377,52.401387881848166,-46.99305013469647,17,0.016,1.6,0,卫星配置
002837.SZ,英维克,上游-液冷技术,精密温控设备,高,42.02161477420803,59.88077079458851,39.27690833249049,46.6820884594397,40.43273296457791,-48.5589343833354,18,0.016,1.6,0,卫星配置
002236.SZ,大华股份,下游-AI应用,安防AI,高,41.6344625921531,47.916229188518,45.15065955841061,57.43714158994365,62.688084829450275,-39.806306573040686,19,0.016,1.6,0,卫星配置
002602.SZ,世纪华通,中游-数据平台,IDC+游戏,中,41.62780526037747,48.349143092583475,48.23974956339726,61.03028589314297,55.95987090806027,-45.33258695201326,20,0.016,1.6,0,卫星配置
600570.SH,恒生电子,下游-AI金融,金融科技,高,40.68088138756531,50.767139537847974,50.17185567352728,56.19773023428893,38.259839386951946,-44.84110206226312,21,0.016,1.6,0,卫星配置
300499.SZ,高澜股份,上游-液冷技术,液冷解决方案,高,40.649435091971725,50.51693743881865,49.03204938882841,53.4615988784785,49.01762100715494,-48.848429682491236,22,0.016,1.6,0,卫星配置
000400.SZ,许继电气,上游-电力设备,电力二次设备,中,40.455479016557916,48.40513007284288,42.615474634224995,61.40105226231098,48.993296819557685,-42.48894736299692,23,0.016,1.6,0,卫星配置
002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,40.28612534896338,47.48732849137438,51.119749884818475,55.17254091761086,52.985879040517,-46.99970421139909,24,0.016,1.6,0,卫星配置
600050.SH,中国联通,中游-数据平台,运营商+智算中心,中,40.27896917938635,43.06888934165829,43.321143153243234,61.55412457831486,65.79028910406565,-35.65794561583078,25,0.016,1.6,0,卫星配置
300249.SZ,依米康,上游-液冷技术,精密空调,高,39.741226980395865,47.841085341597605,51.320369752301005,49.045732965239054,49.66378859787657,-42.00609957821598,26,0.0,0.0,0,观察
301018.SZ,申菱环境,上游-液冷技术,特种空调,高,39.312455020282066,47.96200483312979,47.92864011767452,55.7457831848164,49.412701476608525,-51.60981039317321,27,0.0,0.0,0,观察
300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,39.20652789697611,53.17840806625416,38.148421577901274,50.873227696603635,43.629649483161636,-50.98888475642866,28,0.0,0.0,0,观察
601985.SH,中国核电,上游-能源,核电+新能源,中,39.050718407607064,42.80463589104314,42.87088833701824,55.61109229537668,64.30172055079802,-35.540686878535425,29,0.0,0.0,0,观察
601877.SH,正泰电器,上游-电力设备,低压电器,中,38.62974966481575,45.06254831797728,41.215125161484735,62.35195316293383,49.298929224931165,-43.66479165328794,30,0.0,0.0,0,观察
688041.SH,海光信息,中游-芯片,CPU+DCU,高,38.480101951590605,48.91252200020469,55.306059116097494,35.42467891539781,52.691952626895755,-48.549650159256146,31,0.0,0.0,0,观察
002747.SZ,埃斯顿,智能机器人,工业机器人,高,38.379490215083486,47.865348073109764,50.62796856980037,41.014905573643105,50.785530612459546,-43.78168004233871,32,0.0,0.0,0,观察
002415.SZ,海康威视,下游-AI应用,安防+AI,高,38.34527682655951,42.90149538491715,43.79419568168215,55.01124115396876,60.0147282129622,-39.277592125429166,33,0.0,0.0,0,观察
300474.SZ,景嘉微,中游-芯片,国产GPU,高,38.29432343756508,44.05912790687312,51.735937383397065,38.90814649412467,64.85761671322267,-38.176147688220006,34,0.0,0.0,0,观察
300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,38.192608932329534,51.595421167151464,54.29254215619399,49.98574404271839,20.234249163171974,-52.7026949740025,35,0.0,0.0,0,观察
600406.SH,国电南瑞,上游-电力设备,电力自动化,中,38.074740097236635,44.10654432450738,40.44057288901668,59.182706748722005,49.42022004796725,-38.64046015474587,36,0.0,0.0,0,观察
300607.SZ,拓斯达,智能机器人,工业机器人,高,38.06193881258523,45.630031434209315,46.61329144892842,48.82296728513693,56.53348044597324,-47.21863759226551,37,0.0,0.0,0,观察
000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,37.77059590334366,46.96040344464029,43.28124715686887,49.36083650741144,48.07774453377095,-44.13692821995623,38,0.0,0.0,0,观察
300602.SZ,飞荣达,上游-液冷技术,散热解决方案,中,37.57271756444918,44.065206492421204,41.916313464057495,57.09894957537139,54.71637719515899,-47.838128571916585,39,0.0,0.0,0,观察
002335.SZ,科华数据,上游-电力设备,UPS+能源管理,中,37.49579097157837,46.655364336794065,45.754719606082276,58.61144639609562,35.94987031860525,-50.81803129005869,40,0.0,0.0,0,观察
002594.SZ,比亚迪,下游-智能驾驶,新能源车+智能驾驶,高,37.45236260595593,39.515124113900676,42.86298846374068,57.674341493872795,64.42555345639391,-38.28354290275821,41,0.0,0.0,0,不配置
300124.SZ,汇川技术,智能机器人,工业自动化,高,37.41484596548287,43.7286183619112,49.43108867856938,44.369760681356794,56.46198507393207,-41.65789126854872,42,0.0,0.0,0,不配置
688008.SH,澜起科技,中游-芯片,内存接口芯片,高,36.88162902785945,43.31819878799206,55.55911372167205,39.78819289600422,57.327203775288744,-48.12286736316895,43,0.0,0.0,0,不配置
300394.SZ,天孚通信,中游-光模块,光器件,高,36.77936320820711,48.54366446701443,40.34270137849141,47.905373770113464,41.65883564137121,-48.95563861727957,44,0.0,0.0,0,不配置
688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,34.828060004754505,47.9383467324627,51.27086405423302,23.30027264748103,42.85810267629558,-46.125941343635084,45,0.0,0.0,0,不配置
600021.SH,上海电力,上游-能源,火电+新能源,中,34.7733884231162,39.92966319976645,43.79989510973563,56.49408279685815,49.840637065084486,-52.19603569264538,46,0.0,0.0,0,不配置
300502.SZ,新易盛,中游-光模块,光模块,高,34.26231017634529,45.78732631187255,37.07635916104151,47.11367960087705,38.559655320889036,-51.15824325967673,47,0.0,0.0,0,不配置
000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,33.743407328274344,36.99546989830453,44.59781503722296,55.51929187408705,51.426863672219646,-49.1458002479639,48,0.0,0.0,0,不配置
603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,33.0806361561033,38.65656677071019,45.942880057844455,47.9411189300919,43.615688619911374,-46.918159394333905,49,0.0,0.0,0,不配置
002527.SZ,新时达,智能机器人,自动化控制,中,28.970049747384085,40.39307965738742,42.07882648957901,25.75425462584167,31.777787773327784,-45.79231025955504,50,0.0,0.0,0,不配置
