,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
300502.SZ,新易盛,中游-光模块,光模块,高,35.22245446757975,41.98278430622194,51.697952452216825,54.896320355963965,56.03238570443227,-58.320691520723265,33,0.0,0.0,0,观察
002747.SZ,埃斯顿,智能机器人,工业机器人,高,35.09090832806802,49.73062636460685,60.753698864039826,28.12638967472473,50.443121668677854,-47.66203586361511,34,0.0,0.0,0,观察
688041.SH,海光信息,中游-芯片,CPU+DCU,高,34.94900307433192,47.993105720213336,60.753698864039826,38.39669498278898,44.85385763292345,-51.591411018282926,35,0.0,0.0,0,观察
002281.SZ,光迅科技,中游-光模块,光器件,高,34.04162195629043,52.99077420738389,51.697952452216825,46.546073803991696,35.848968941648955,-49.72619573446478,36,0.0,0.0,0,观察
688008.SH,澜起科技,中游-芯片,内存接口芯片,高,33.94994766856661,41.4298226945844,60.753698864039826,45.27167231477909,44.85385763292345,-55.84662936911366,37,0.0,0.0,0,观察
601877.SH,正泰电器,上游-电力设备,低压电器,中,33.73785099041137,39.38427272495331,33.58645962857079,60.36986845795989,67.21091377594111,-53.35266357194169,38,0.0,0.0,0,观察
600845.SH,宝信软件,中游-数据平台,IDC运营,中,33.16484752648924,51.28456640133731,42.6422060403938,53.73020367035892,35.848968941648955,-46.00783324360683,39,0.0,0.0,0,观察
600089.SH,特变电工,上游-电力设备,变压器,中,32.49156808406191,49.92882571422076,33.58645962857079,58.289851836498165,45.00915533687946,-49.86481816317109,40,0.0,0.0,0,观察
600570.SH,恒生电子,下游-AI金融,金融科技,高,32.361471977405046,46.89780721255518,42.6422060403938,45.76663152647131,45.00915533687946,-45.45123550882383,41,0.0,0.0,0,不配置
603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,31.637689557592772,38.149155125828386,42.6422060403938,52.47732976337674,56.03238570443227,-57.799282272631395,42,0.0,0.0,0,不配置
000400.SZ,许继电气,上游-电力设备,电力二次设备,中,31.299775922955398,43.49223956355939,33.58645962857079,57.38137212622074,45.00915533687946,-45.71567013167987,43,0.0,0.0,0,不配置
000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,30.730792267116836,47.245600172296456,42.6422060403938,48.26943809265089,35.848968941648955,-49.16051823021212,44,0.0,0.0,0,不配置
600406.SH,国电南瑞,上游-电力设备,电力自动化,中,30.557000072337182,40.1802310938368,33.58645962857079,56.524641260199616,45.00915533687946,-44.005399969563896,45,0.0,0.0,0,不配置
002415.SZ,海康威视,下游-AI应用,安防+AI,高,30.144688222087048,39.92478432692043,42.6422060403938,52.941208754678804,35.848968941648955,-46.28065253628931,46,0.0,0.0,0,不配置
000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,27.563020834597555,39.56291542653676,42.6422060403938,52.099491442238225,35.848968941648955,-62.99273143739123,47,0.0,0.0,0,不配置
688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,25.551681805508494,49.6949323362048,60.753698864039826,0.0,26.68878254641846,-49.03183466362847,48,0.0,0.0,0,不配置
