,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,48.197165559497954,76.66796714510289,77.94387229108827,51.04132258751715,43.933135958417445,-53.937120270129,1,0.09,9.0,0,核心配置
002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,44.010591999460445,53.246023383660706,68.12335966068734,39.0304930995285,73.29199859822062,-46.78430190872428,2,0.087,8.7,0,核心配置
300594.SZ,朗进科技,上游-液冷技术,精密空调,中,43.70815376597475,61.262471968594994,56.822941772852886,55.1134169685489,57.70857405325092,-43.72255752365132,3,0.08399999999999999,8.399999999999999,0,核心配置
300364.SZ,中文在线,中游-大模型,AI语料库,高,43.40619837691829,72.25035277185638,89.477974408542,18.900986251247684,46.765623646380945,-63.18480856967463,4,0.081,8.1,0,核心配置
601360.SH,三六零,中游-大模型,AI+安全双主线,高,42.40388043912769,56.01554264609516,65.47535494109792,40.66590639802862,68.92613950169716,-54.967230140151536,5,0.078,7.8,0,核心配置
300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,40.761192013863926,51.53405833826883,55.308756245953646,57.60905178014035,54.55199939878616,-43.84643460284617,6,0.075,7.5,0,核心配置
300496.SZ,中科创达,下游-AI应用,智能操作系统,高,40.32484573651626,58.00647661414054,56.14602059806545,52.98912252285993,50.58588653254303,-48.977001403626936,7,0.072,7.199999999999999,0,核心配置
002602.SZ,世纪华通,中游-数据平台,IDC+游戏,中,39.70202111107927,46.80089356414124,50.64756813643567,60.87716072447088,58.72612894691993,-44.20490324939502,8,0.06899999999999999,6.8999999999999995,0,核心配置
002405.SZ,四维图新,下游-智能驾驶,高精地图,高,39.6027172634851,49.77288879441383,56.62362287111882,54.912304369749414,54.250597580534546,-47.4695214567798,9,0.066,6.6000000000000005,0,核心配置
600050.SH,中国联通,中游-数据平台,运营商+智算中心,中,39.24825652100387,41.64356684736989,44.30560308126042,61.56012253398106,65.86346255961344,-36.96629484286227,10,0.063,6.3,0,核心配置
300308.SZ,中际旭创,中游-光模块,光模块龙头,高,39.228950842490505,68.52147017348716,41.68845137221693,49.900817341180776,50.06986039503762,-45.130368117534516,11,0.016,1.6,0,卫星配置
002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,39.00504231518799,49.185652355454344,54.54108400127654,55.446356795029246,54.48747116357809,-47.96236290388612,12,0.016,1.6,0,卫星配置
688017.SH,绿的谐波,智能机器人,机器人减速器,高,38.909207134518695,62.168664573655704,52.74745051319076,45.99245106649824,51.037347830061044,-52.037038846954204,13,0.016,1.6,0,卫星配置
600089.SH,特变电工,上游-电力设备,变压器,中,38.60997874328807,65.63092484288003,50.86851925566665,62.24256955583714,36.8088999338478,-59.60104849637066,14,0.016,1.6,0,卫星配置
600845.SH,宝信软件,中游-数据平台,IDC运营,中,38.443211331061526,44.94896054673121,50.44762441055823,59.38444900078242,56.36273512270055,-44.57448607491259,15,0.016,1.6,0,卫星配置
002236.SZ,大华股份,下游-AI应用,安防AI,高,37.570932681020984,45.933410595234776,44.9179307417601,57.07856181514047,59.78733929797489,-44.1268918113464,16,0.016,1.6,0,卫星配置
002028.SZ,思源电气,上游-电力设备,输配电设备,中,37.40532212260416,67.26529872169172,40.65077003918577,55.75348841866913,38.80255376285315,-47.09844757349444,17,0.016,1.6,0,卫星配置
002281.SZ,光迅科技,中游-光模块,光器件,高,36.878837201735855,51.82501213263605,44.57513891457256,56.39609845683393,53.68974089792648,-50.26179745659407,18,0.016,1.6,0,卫星配置
300474.SZ,景嘉微,中游-芯片,国产GPU,高,36.777260359404195,44.67406549801675,52.18510878416045,39.020952064380886,62.9417383376402,-41.36298202502788,19,0.016,1.6,0,卫星配置
688111.SH,金山办公,下游-AI办公,办公软件,高,36.76722728253417,55.717084554046394,58.90548064269517,49.77805549549249,39.681865312457454,-57.07999830058721,20,0.016,1.6,0,卫星配置
300124.SZ,汇川技术,智能机器人,工业自动化,高,36.68031706159415,42.76385770199754,50.6930287298,46.00072499437459,59.94548961054201,-41.10159410885866,21,0.016,1.6,0,卫星配置
002594.SZ,比亚迪,下游-智能驾驶,新能源车+智能驾驶,高,36.62796820213201,37.976683728673535,44.04591286514071,57.441819213582995,63.49144098907253,-40.326198448568164,22,0.016,1.6,0,卫星配置
300607.SZ,拓斯达,智能机器人,工业机器人,高,36.41813700029117,46.2101826493693,48.32369557815227,48.89258996801943,58.463399573996284,-46.71007624394321,23,0.016,1.6,0,卫星配置
300249.SZ,依米康,上游-液冷技术,精密空调,高,35.900150593020946,46.412219645097785,50.14919509754975,49.35593870163233,50.27808679112489,-44.10234058098027,24,0.016,1.6,0,卫星配置
002747.SZ,埃斯顿,智能机器人,工业机器人,高,35.5558154711586,48.21408484949964,52.102631997236,41.443436228919694,51.83620171540748,-45.09784693217287,25,0.016,1.6,0,卫星配置
688047.SH,龙芯中科,中游-芯片,国产CPU,高,35.53333840308831,47.306184709464496,56.89378352857431,36.05323232899647,54.52411600619368,-48.718402548254446,26,0.0,0.0,0,观察
000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,35.215509630336086,44.61536255329867,42.11871857947585,56.88334196333072,55.913646833666135,-48.3676331165498,27,0.0,0.0,0,观察
002837.SZ,英维克,上游-液冷技术,精密温控设备,高,35.07144523359145,62.91145797944479,37.860153845807204,46.976878558974015,44.650027681089185,-47.24500604237802,28,0.0,0.0,0,观察
300499.SZ,高澜股份,上游-液冷技术,液冷解决方案,高,34.82738551691475,46.82737831250823,44.91191912784738,53.84001643510358,50.947796843693325,-49.78032309541139,29,0.0,0.0,0,观察
000400.SZ,许继电气,上游-电力设备,电力二次设备,中,34.81890635255234,50.84409245216525,45.03141210833195,61.44205411824022,40.855540651020064,-54.02526318599151,30,0.0,0.0,0,观察
600406.SH,国电南瑞,上游-电力设备,电力自动化,中,34.73042418344534,44.85202918064574,42.63583634266279,60.06305286761698,46.783067766981105,-45.52745651149601,31,0.0,0.0,0,观察
301018.SZ,申菱环境,上游-液冷技术,特种空调,高,34.442463479291284,46.161604588702176,46.01848268575038,55.73668463415367,49.625862510957425,-54.055834467441755,32,0.0,0.0,0,观察
002415.SZ,海康威视,下游-AI应用,安防+AI,高,34.41419190739913,38.28863833759834,43.28089148613851,53.82605517996605,57.1468684155115,-42.52369139800741,33,0.0,0.0,0,观察
300602.SZ,飞荣达,上游-液冷技术,散热解决方案,中,34.306871724015735,43.66738840315119,41.8671510772199,56.92059986092568,54.143431543092476,-50.4877771342879,34,0.0,0.0,0,观察
688008.SH,澜起科技,中游-芯片,内存接口芯片,高,34.113876728575015,39.028039450703076,55.154273113440524,39.70235705967915,57.404237502652364,-49.363488812003986,35,0.0,0.0,0,观察
603881.SH,数据港,中游-数据平台,IDC运营,高,33.90356790844208,47.01616003319093,50.54759627349695,53.635260596900814,40.82843970332778,-53.50598015907885,36,0.0,0.0,0,观察
300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,33.57238354767333,51.49292426828217,54.92136527706609,50.10727467253025,27.522071878512286,-50.031937270367024,37,0.0,0.0,0,观察
688041.SH,海光信息,中游-芯片,CPU+DCU,高,33.47965892635097,43.79957008805545,51.43531981212003,36.745330290277316,55.02007620104729,-48.90597655093802,38,0.0,0.0,0,观察
600570.SH,恒生电子,下游-AI金融,金融科技,高,33.43239051519745,45.51839408940754,46.8048996547285,54.146087830629696,38.35938201907261,-44.99583924130697,39,0.0,0.0,0,观察
601877.SH,正泰电器,上游-电力设备,低压电器,中,33.160824069372424,44.91600914831226,43.012605301113105,62.252453028058795,41.96450051333004,-54.14557986024216,40,0.0,0.0,0,观察
603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,31.65070966289698,34.19785945200073,45.39904533215271,55.528476454577046,50.64361640197353,-52.56780890943199,41,0.0,0.0,0,不配置
002335.SZ,科华数据,上游-电力设备,UPS+能源管理,中,31.47909751055309,43.5678230019249,43.90672865027131,57.73346980366839,36.58526320056007,-52.62080245183631,42,0.0,0.0,0,不配置
300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,31.124031174151767,53.92417264353884,34.836004991910826,46.7620066616971,41.886100328535434,-50.16194637823216,43,0.0,0.0,0,不配置
300502.SZ,新易盛,中游-光模块,光模块,高,30.276721179622427,50.85252923399423,36.808574812520504,47.34977761194684,40.25608369271455,-52.911499048895024,44,0.0,0.0,0,不配置
000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,30.254844346654615,32.967744415769296,45.155363916239565,55.502394646530014,47.65033526934801,-56.02445800861173,45,0.0,0.0,0,不配置
688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,29.28311309082162,47.57285717730532,50.61804983259597,24.423442475413502,41.776978750995895,-51.290639160052834,46,0.0,0.0,0,不配置
300394.SZ,天孚通信,中游-光模块,光器件,高,28.258504168703862,55.02377620823854,40.00455030584281,41.046365982655125,28.618455319186744,-57.41603781534291,47,0.0,0.0,0,不配置
002527.SZ,新时达,智能机器人,自动化控制,中,25.226359611379266,40.00018963018157,43.060176994428495,26.495190585682078,34.60638345595402,-46.69296694476962,48,0.0,0.0,0,不配置
