result_rank,as_of_date,backtest_as_of_date,stock_code,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,data_provider,provider_adjustment,liquidity_score,risk_adjusted_momentum,return_acceleration,growth_data_coverage,quality_data_coverage,rank,target_weight,position_value,recommendation,backtest_selected_count,backtest_avg_rank,backtest_avg_weight,backtest_avg_signal_score,backtest_avg_holding_return,backtest_total_contribution,backtesting_score
11,2026-05-26,2026-05-08,300308.SZ,中际旭创,中游-光模块,光模块龙头,高,61.67242530822383,67.43785544574487,83.28571428571429,50.0,51.5785993819393,45.424107142857146,baostock,qfq,65.90080940969648,1.6416976306987068,-9.085580450043487,0.0,0.0,13,0.02,2.0,卫星配置,1,8.0,0.060583547199999026,68.40256481166904,0.03323615160349824,0.0020135639594168592,3.3236151603498243
12,2026-05-26,2026-05-08,002916.SZ,深南电路,上游-PCB/CCL,服务器PCB+封装基板,高,63.15286603964509,81.1758703715208,77.39285714285714,50.0,48.38296239741264,39.02529761904763,baostock,qfq,61.120541153729825,0.8624106076688433,14.511755742309866,0.0,0.0,10,0.04897959183673469,4.8979591836734695,核心配置,1,9.0,0.05908920098822926,64.75136555801737,0.025184000000000095,0.0014881024376875711,2.5184000000000095
13,2026-05-26,2026-05-08,601985.SH,中国核电,上游-能源,核电+新能源,中,53.42213974753698,39.95670995670996,46.78571428571429,50.0,64.99979843340162,97.76785714285715,baostock,qfq,41.40524216700811,0.12579645888725263,-3.0836253894081067,0.0,0.0,24,0.02,2.0,卫星配置,1,1.0,0.14443159728047839,69.49981325087263,-0.006629834254143763,-0.0009575575510308127,-0.6629834254143763
14,2026-05-26,2026-05-08,600845.SH,宝信软件,中游-数据平台,IDC运营,中,44.29122234091795,30.12369928142731,38.214285714285715,45.0,56.05657661131189,69.5684523809524,baostock,qfq,46.038091389892756,-0.16492143228445053,-1.3753659182902203,0.0,0.0,47,0.0,0.0,不配置,1,3.0,0.12648509855601753,63.56382502328916,-0.013913043478261278,-0.0017597926755620345,-1.3913043478261278
15,2026-05-26,2026-05-08,002594.SZ,比亚迪,下游-智能驾驶,新能源车+智能驾驶,高,52.34711287070271,36.1117388931097,55.00000000000001,50.0,61.98449891212012,85.0074404761905,baostock,qfq,48.65947372726724,0.1789630371590296,-7.436905932268194,0.0,0.0,30,0.011111111111111112,1.1111111111111112,观察,1,4.0,0.09636109178724095,73.78040228077298,-0.021567695961995148,-0.0020782867302331204,-2.156769596199515
16,2026-05-26,2026-05-08,603881.SH,数据港,中游-数据平台,IDC运营,高,43.447257562509904,30.016423738499668,45.71428571428571,45.0,49.26391593606532,31.99404761904762,baostock,qfq,77.82999634699325,-0.03889870348734377,-3.1630562150091484,0.0,0.0,50,0.0,0.0,不配置,1,7.0,0.08492722867620367,65.05420287675396,-0.037046699713019215,-0.0031462735382262316,-3.7046699713019215
17,2026-05-26,2026-05-08,300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,42.50608895892734,24.789161440327725,52.14285714285714,45.0,48.730276007714934,31.510416666666664,baostock,qfq,76.00815087190804,-0.009498493259103303,-11.469610352502498,0.0,0.0,51,0.0,0.0,不配置,1,5.0,0.08858767276777876,67.8581007109837,-0.07126168224299079,-0.006312906587423499,-7.126168224299079
18,2026-05-26,2026-05-08,300594.SZ,朗进科技,上游-液冷技术,精密空调,中,30.945462086522202,18.14683247982964,29.66071428571429,50.0,36.567865846533294,10.602678571428575,baostock,qfq,51.78464173266646,-0.4736232691603287,-22.80402728814731,0.0,0.0,56,0.0,0.0,不配置,2,1.5,0.12908330416350414,45.66437584128517,-0.12131487653901102,-0.031319450215686225,-12.131487653901102
19,2026-05-26,2026-05-08,002747.SZ,埃斯顿,智能机器人,工业机器人,高,68.10027712691841,81.19394685539433,72.85714285714286,55.00000000000001,56.76492077743182,72.20982142857144,baostock,qfq,59.89555343385172,0.47674933040991047,29.135728431130033,0.0,0.0,4,0.0636734693877551,6.36734693877551,核心配置,0,,,,,,
20,2026-05-26,2026-05-08,002409.SZ,雅克科技,上游-半导体材料,存储材料+前驱体,高,67.85849071162282,83.31080709084704,73.85714285714286,50.0,55.70529772256755,46.09375000000001,baostock,qfq,85.36242611283774,0.6566966910633523,28.84151506307265,0.0,0.0,5,0.061224489795918366,6.122448979591836,核心配置,0,,,,,,
21,2026-05-26,2026-05-08,600183.SH,生益科技,上游-PCB/CCL,高频高速覆铜板,高,66.44875151701743,88.03121117392726,80.33928571428572,50.0,49.238985643647915,36.38392857142857,baostock,qfq,70.02305321823958,1.245245228716148,29.218988251346975,0.0,0.0,6,0.05877551020408163,5.877551020408163,核心配置,0,,,,,,
22,2026-05-26,2026-05-08,300607.SZ,拓斯达,智能机器人,工业机器人,高,64.78855674477005,73.25617066481881,69.0,55.00000000000001,54.56720490453567,55.617559523809526,baostock,qfq,77.3650861203632,0.2220207139159425,20.91292278443509,0.0,0.0,7,0.056326530612244886,5.632653061224489,核心配置,0,,,,,,
23,2026-05-26,2026-05-08,603256.SH,宏和科技,上游-PCB/CCL,低介电电子布/电子纱,高,63.578590383394804,89.0851134979452,86.82142857142858,50.0,41.500380222056876,19.60565476190476,baostock,qfq,60.69200527695107,1.553976966108235,22.444403941894286,0.0,0.0,9,0.05142857142857143,5.142857142857142,核心配置,1,8.0,0.0,65.4468241020346,,0.0,
24,2026-05-26,2026-05-08,300602.SZ,飞荣达,上游-液冷技术,散热解决方案,中,62.782208003412904,78.70626346026462,69.73214285714286,50.0,50.50958984843563,38.61607142857142,baostock,qfq,72.46982424217815,0.44567758497626575,19.251778320763183,0.0,0.0,11,0.02,2.0,卫星配置,0,,,,,,
25,2026-05-26,2026-05-08,300124.SZ,汇川技术,智能机器人,工业自动化,高,61.45332753109935,69.9834625057814,62.57142857142857,55.00000000000001,53.638070019726044,65.14136904761905,baostock,qfq,55.808235849435285,0.1599323340978088,15.806457070562661,0.0,0.0,14,0.02,2.0,卫星配置,0,,,,,,
26,2026-05-26,2026-05-08,301018.SZ,申菱环境,上游-液冷技术,特种空调,高,60.67344370023269,80.35591926256527,82.69642857142858,50.0,41.07833937760035,11.235119047619047,baostock,qfq,73.23023855466842,0.8976189043003656,8.037031221258616,0.0,0.0,16,0.02,2.0,卫星配置,0,,,,,,
27,2026-05-26,2026-05-08,300496.SZ,中科创达,下游-AI应用,智能操作系统,高,58.99606999739189,66.74505315566458,50.0,50.0,56.715415225479106,59.70982142857143,baostock,qfq,66.58488862739551,-0.003666121161710889,11.761003789069713,0.0,0.0,18,0.02,2.0,卫星配置,0,,,,,,
