,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,44.641040849899795,72.94161535196311,51.697952452216825,57.49918856282939,56.03238570443227,-49.67524620894493,1,0.09,9.0,0,核心配置
300594.SZ,朗进科技,上游-液冷技术,精密空调,中,43.91588926915769,68.33142243393463,51.697952452216825,57.49918856282939,56.03238570443227,-46.622413003480546,2,0.087,8.7,0,核心配置
300364.SZ,中文在线,中游-大模型,AI语料库,高,41.437820395306055,70.12256012010486,69.80944527586284,43.50303594761212,33.675329561414614,-53.123476752219204,3,0.08399999999999999,8.399999999999999,0,核心配置
002837.SZ,英维克,上游-液冷技术,精密温控设备,高,41.220907789735406,63.0429350969666,51.697952452216825,49.61272581080146,56.03238570443227,-46.28881550216086,4,0.081,8.1,0,核心配置
300308.SZ,中际旭创,中游-光模块,光模块龙头,高,40.9499717506938,55.51957011299518,51.697952452216825,56.368252813604556,56.03238570443227,-43.475170170398776,5,0.078,7.8,0,核心配置
688111.SH,金山办公,下游-AI办公,办公软件,高,40.15462121924192,56.93708798786341,51.697952452216825,53.84090343975001,56.03238570443227,-48.43807811950673,6,0.075,7.5,0,核心配置
688017.SH,绿的谐波,智能机器人,机器人减速器,高,39.844257565192336,60.25298607020126,60.753698864039826,37.21692084935576,50.443121668677854,-44.18729515438565,7,0.072,7.199999999999999,0,核心配置
300496.SZ,中科创达,下游-AI应用,智能操作系统,高,39.445098165242136,61.779766343434346,42.6422060403938,52.88813284246356,56.03238570443227,-44.75777335111535,8,0.06899999999999999,6.8999999999999995,0,核心配置
002028.SZ,思源电气,上游-电力设备,输配电设备,中,39.407276203039764,54.30353836723361,33.58645962857079,62.558541935002665,67.21091377594111,-42.312323742008715,9,0.066,6.6000000000000005,0,核心配置
300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,39.40139577363271,53.55171069147912,42.6422060403938,57.83781435455291,67.21091377594111,-51.11324623446032,10,0.063,6.3,0,核心配置
002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,39.12951236292851,52.000370933539635,51.697952452216825,58.398273634200606,56.03238570443227,-52.80419403188942,11,0.016,1.6,0,卫星配置
300124.SZ,汇川技术,智能机器人,工业自动化,高,38.70377701088448,44.30922459486754,60.753698864039826,53.574900595720564,50.443121668677854,-44.89427043881484,12,0.016,1.6,0,卫星配置
301018.SZ,申菱环境,上游-液冷技术,特种空调,高,38.61386245209125,53.00951447007317,51.697952452216825,55.005466386526116,56.03238570443227,-53.92726896324114,13,0.016,1.6,0,卫星配置
688047.SH,龙芯中科,中游-芯片,国产CPU,高,38.429687179162876,51.342855356508515,60.753698864039826,48.16842015268454,44.85385763292345,-45.27472412416893,14,0.016,1.6,0,卫星配置
002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,38.257789582911045,52.24138112858859,69.80944527586284,43.50303594761212,33.675329561414614,-43.90730578447591,15,0.016,1.6,0,卫星配置
300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,38.256723124890804,53.660126590780955,42.6422060403938,56.89908458712122,56.03238570443227,-43.9037477527322,16,0.016,1.6,0,卫星配置
300249.SZ,依米康,上游-液冷技术,精密空调,高,38.17963487001573,50.2203291520999,51.697952452216825,48.732519166125684,56.03238570443227,-43.98298862688484,17,0.016,1.6,0,卫星配置
300602.SZ,飞荣达,上游-液冷技术,散热解决方案,中,37.57511636377817,48.393587677766725,51.697952452216825,57.43252411856105,56.03238570443227,-56.22466026326077,18,0.016,1.6,0,卫星配置
300499.SZ,高澜股份,上游-液冷技术,液冷解决方案,高,37.325291251380094,50.47736463896066,51.697952452216825,47.678277025351164,56.03238570443227,-49.18898080553777,19,0.016,1.6,0,卫星配置
002527.SZ,新时达,智能机器人,自动化控制,中,37.29226942030994,42.391759286008295,60.753698864039826,52.83380435775696,50.443121668677854,-50.59958429971685,20,0.016,1.6,0,卫星配置
300607.SZ,拓斯达,智能机器人,工业机器人,高,37.23404838686275,50.46675153174522,60.753698864039826,39.79323614245166,50.443121668677854,-48.6686329863344,21,0.016,1.6,0,卫星配置
300394.SZ,天孚通信,中游-光模块,光器件,高,37.17974775336532,47.81894127115908,51.697952452216825,55.69747871508153,56.03238570443227,-55.79179480707958,22,0.016,1.6,0,卫星配置
600050.SH,中国联通,中游-数据平台,运营商+智算中心,中,37.023006101038206,41.15049772801358,42.6422060403938,64.03990847976195,56.03238570443227,-39.558448530132836,23,0.016,1.6,0,卫星配置
300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,36.995077199816905,46.18925417269317,51.697952452216825,53.64267995944768,56.03238570443227,-51.55883054220703,24,0.016,1.6,0,卫星配置
300474.SZ,景嘉微,中游-芯片,国产GPU,高,36.98486774908008,43.0549814091101,60.753698864039826,48.16842015268454,44.85385763292345,-40.79508800440597,25,0.016,1.6,0,卫星配置
601360.SH,三六零,中游-大模型,AI+安全双主线,高,36.86497649479952,53.2255235372072,69.80944527586284,43.50303594761212,33.675329561414614,-55.61336785780572,26,0.0,0.0,0,观察
002602.SZ,世纪华通,中游-数据平台,IDC+游戏,中,36.587913980090896,44.51245806520205,42.6422060403938,63.51373133070945,56.03238570443227,-47.99323651881125,27,0.0,0.0,0,观察
002594.SZ,比亚迪,下游-智能驾驶,新能源车+智能驾驶,高,36.51140702482536,36.63458966758619,51.697952452216825,58.76404315142513,56.03238570443227,-44.536326422712314,28,0.0,0.0,0,观察
